@relation articlefeatures

@ATTRIBUTE "pos_2gram_IN_JJ" NUMERIC
@ATTRIBUTE "pos_2gram_NNP_NNS" NUMERIC
@ATTRIBUTE "pos_2gram_IN_NN" NUMERIC
@ATTRIBUTE "pos_3gram_IN_NNP_NNP" NUMERIC
@ATTRIBUTE "pos_3gram_NNP_NNP_VBZ" NUMERIC
@ATTRIBUTE "description_title_CharacterRatio" NUMERIC
@ATTRIBUTE "caption_title_CharacterRatio" NUMERIC
@ATTRIBUTE "title_caption_CharacterDiff" NUMERIC
@ATTRIBUTE "title_keyword_CharacterDiff" NUMERIC
@ATTRIBUTE "description_LenCharacter" NUMERIC
@ATTRIBUTE "caption_LenCharacter" NUMERIC
@ATTRIBUTE "keyword_LenCharacter" NUMERIC
@ATTRIBUTE "title_LenCharacter" NUMERIC
@ATTRIBUTE "pos_2gram_PRP_VBP" NUMERIC
@ATTRIBUTE "pos_2gram_NN_IN" NUMERIC
@ATTRIBUTE "pos_2gram_NNP_VBZ" NUMERIC
@ATTRIBUTE "startsPunctuation" {True, False}
@ATTRIBUTE "averageLengthWords" NUMERIC
@ATTRIBUTE "countLongestWord" NUMERIC
@ATTRIBUTE "startsAdverb" {True, False}
@ATTRIBUTE "hasThirdPronoun" {True, False}
@ATTRIBUTE "hasDemonstrative" {True, False}
@ATTRIBUTE "wh_start" {True, False}
@ATTRIBUTE "pos_3gram_NNP_NNP_NNP" NUMERIC
@ATTRIBUTE "pos_2gram_NNP_NNP" NUMERIC
@ATTRIBUTE "cal_pos_1grams_tag_list" NUMERIC
@ATTRIBUTE "targetTitle_linsear_write_formula" NUMERIC
@ATTRIBUTE "targetTitle_gunning_fog" NUMERIC
@ATTRIBUTE "targetTitle_coleman_liau_index" NUMERIC
@ATTRIBUTE "targetTitleCountWords" NUMERIC
@ATTRIBUTE "postTitle_char_count" NUMERIC
@ATTRIBUTE "targetTitle_char_count" NUMERIC
@ATTRIBUTE "targetDescription_char_count" NUMERIC
@ATTRIBUTE "targetKeywords_char_count" NUMERIC
@ATTRIBUTE "targetCaptions_char_count" NUMERIC
@ATTRIBUTE "targetParagraphs_char_count" NUMERIC
@ATTRIBUTE "postText_word_count" NUMERIC
@ATTRIBUTE "targetTitle_word_count" NUMERIC
@ATTRIBUTE "targetDescription_word_count" NUMERIC
@ATTRIBUTE "targetKeywords_word_count" NUMERIC
@ATTRIBUTE "targetCaptions_word_count" NUMERIC
@ATTRIBUTE "targetParagraphs_word_count" NUMERIC
@ATTRIBUTE "postText_word_frequency" NUMERIC
@ATTRIBUTE "targetDescription_word_frequency" NUMERIC
@ATTRIBUTE "targetCaptions_word_frequency" NUMERIC
@ATTRIBUTE "targetParagraphs_word_frequency" NUMERIC
@ATTRIBUTE "formal_word_ratio" NUMERIC
@ATTRIBUTE "tags_amount" NUMERIC
@ATTRIBUTE label {0,1}

@DATA
1,0,0,0,0,3.5694444444444446,0.013888888888888888,71,72,257,1,0,72,0,0,0,False,6.2,10,False,False,False,False,0,0,3,4.0,26.0,17.2,10,62,62,218,0,171,2892,10,10,43,-1,32,558,-1,-1,-1,-1,1.0,0,0
6,5,4,5,4,0.054404145077720206,0.0010362694300518134,1928,1821,105,2,109,1930,0,12,8,False,5.4366666666666665,18,False,True,False,False,12,32,1,13.25,44.495250836120405,15.51,299,77,1631,86,89,276,1151,13,300,20,15,50,247,0.0,0.09523809523809523,0.017241379310344827,0.0149812734082397,0.9230769230769231,0,1
0,0,0,0,0,1.2551020408163265,0.0,98,98,123,0,0,98,0,2,0,False,5.1875,12,False,False,False,False,0,0,2,6.5,26.666666666666664,14.2,15,67,83,104,0,-1,2926,14,16,20,-1,-1,583,-1,-1,-1,-1,0.8461538461538461,0,1
0,0,0,0,0,3.2452830188679247,0.09433962264150944,48,-108,172,5,161,53,0,0,1,False,4.888888888888889,9,False,False,False,False,1,3,2,3.5,23.37777777777778,9.31,9,44,44,147,134,153,5406,10,10,28,24,30,1107,0.1,0.034482758620689655,0.0,0.016722408026755852,1.0,0,1
0,0,0,0,0,2.262295081967213,0.06557377049180328,57,-31,138,4,92,61,0,0,0,False,5.1,11,False,False,False,False,2,3,4,3.5,18.0,10.82,10,94,51,118,77,41,3395,19,10,25,11,9,668,0.0,0.0,0.0,0.0,0.7142857142857143,0,1
6,4,4,3,4,0.0196078431372549,0.001589825119236884,1884,1779,37,3,108,1887,0,12,8,False,5.378378378378378,18,False,True,False,False,9,30,1,12.5,44.13016949152543,15.22,295,73,1592,30,87,130,1276,12,296,7,14,28,276,0.7857142857142857,0.8571428571428571,0.6363636363636364,0.7547169811320755,0.6666666666666666,0,1
1,0,0,0,0,3.0952380952380953,0.015873015873015872,62,63,195,1,0,63,0,1,0,False,4.7272727272727275,9,False,False,False,False,0,0,1,4.0,17.30909090909091,8.97,11,52,52,166,0,98,2236,11,11,32,-1,19,442,-1,-1,-1,-1,1.0,0,1
0,0,1,0,0,1.1464968152866242,0.025477707006369428,153,25,180,4,132,157,0,0,0,False,6.181818181818182,13,False,False,True,False,0,0,2,5.75,23.34285714285714,18.82,21,76,136,153,116,734,1910,14,21,28,17,136,345,0.35714285714285715,0.1,0.1375,0.08780487804878048,0.9090909090909091,0,1
0,0,0,0,0,2.1666666666666665,0.018518518518518517,53,54,117,1,0,54,0,0,1,False,6.857142857142857,10,False,False,False,False,0,0,3,1.5,27.65714285714286,19.84,7,66,48,100,0,13,3767,9,7,18,-1,2,729,-1,-1,-1,-1,0.5555555555555556,1,1
0,0,0,0,0,3.375,0.6428571428571429,20,-274,189,36,330,56,0,0,0,False,7.0,12,False,False,False,True,1,3,2,3.0,27.65714285714286,20.66,7,49,49,158,290,1889,216,9,9,34,40,250,45,0.0,0.08108108108108109,0.006666666666666667,0.06382978723404255,0.6666666666666666,0,0
0,0,0,0,0,3.1320754716981134,0.0,53,40,166,0,13,53,0,0,0,False,4.4,8,False,False,False,False,0,0,2,3.0,18.0,6.76,10,44,44,141,12,-1,2368,10,10,26,2,-1,459,0.0,0.0,-1,0.0,1.0,0,0
0,0,0,0,0,1.9264705882352942,0.0,68,68,131,0,0,68,0,0,0,False,5.2727272727272725,9,False,False,False,False,2,4,2,3.5,20.94545454545455,12.1,11,58,58,113,0,-1,1562,11,11,19,-1,-1,302,-1,-1,-1,-1,0.8888888888888888,0,1
0,0,0,0,0,2.309090909090909,0.0,55,55,127,0,0,55,0,0,0,False,4.6,10,False,False,False,False,4,6,0,3.5,14.0,7.92,10,48,46,108,0,-1,1447,11,12,20,-1,-1,268,-1,-1,-1,-1,0.9090909090909091,0,1
0,1,0,0,0,1.6603773584905661,0.018867924528301886,52,-24,88,1,77,53,0,0,0,False,5.0,7,False,False,False,False,0,0,3,3.0,23.37777777777778,9.94,9,67,45,73,63,47,4636,14,9,16,7,13,1088,0.0,0.0,0.0,0.0007980845969672786,0.9,0,0
0,0,0,0,0,1.5774647887323943,0.014084507042253521,70,71,112,1,0,71,0,0,0,False,6.2,13,False,False,False,False,3,4,2,4.5,26.0,17.2,10,62,62,92,0,90,2128,10,10,22,-1,13,437,-1,-1,-1,-1,0.75,0,1
0,0,0,0,0,3.609375,0.484375,33,-24,231,31,88,64,0,1,2,False,5.5,10,False,False,False,False,0,0,4,4.5,18.0,13.14,10,100,55,195,72,2521,3572,18,11,39,12,523,734,0.0,0.0,0.0,0.0,0.5625,3,1
0,0,0,1,0,2.3972602739726026,0.0,73,12,175,0,61,73,0,0,0,False,5.166666666666667,10,False,False,False,False,2,6,7,5.0,20.133333333333333,11.82,12,70,62,118,50,-1,810,14,12,21,8,-1,160,0.05555555555555555,0.045454545454545456,-1,0.01,0.6923076923076923,0,1
0,0,0,0,0,0.7727272727272727,0.0,44,-32,34,0,76,44,0,0,0,False,4.625,8,False,False,False,False,2,3,0,3.0,25.200000000000003,7.21,8,37,37,28,65,-1,327,8,8,7,12,-1,73,0.125,0.0,-1,0.011904761904761904,1.0,0,0
0,0,0,0,0,1.2542372881355932,0.0847457627118644,108,55,148,10,63,118,0,0,0,False,4.9,9,False,False,False,False,0,0,0,8.0,22.231578947368423,12.94,19,61,98,125,55,922,1244,12,19,23,9,174,242,0.4166666666666667,0.18518518518518517,0.10638297872340426,0.07434944237918216,0.8888888888888888,0,1
0,0,0,0,0,6.163265306122449,0.0,49,49,302,0,0,49,1,0,0,False,4.0,7,False,False,False,False,3,5,1,4.0,14.0,4.44,10,64,40,257,0,-1,1660,12,10,46,-1,-1,338,-1,-1,-1,-1,0.7272727272727273,1,1
6,4,4,4,4,0.0764525993883792,0.0015290519877675841,1959,1713,150,3,249,1962,0,12,8,False,5.373376623376624,18,False,True,False,False,9,32,8,12.25,45.61902280130293,15.17,307,76,1655,124,199,159,3530,17,308,28,35,31,769,0.10526315789473684,0.034482758620689655,0.1111111111111111,0.0187018701870187,0.7333333333333333,1,1
6,4,4,3,4,0.044854881266490766,0.0005277044854881266,1894,1778,85,1,117,1895,0,12,8,False,5.405405405405405,18,False,True,False,False,14,34,2,12.5,43.858983050847456,15.34,295,80,1600,69,95,61,866,15,296,17,16,13,162,0.058823529411764705,0.0,0.06666666666666667,0.03296703296703297,0.8461538461538461,0,0
0,0,0,0,0,2.0491803278688523,0.06557377049180328,57,-56,125,4,117,61,0,0,0,False,6.625,14,False,False,False,False,4,5,10,3.5,25.200000000000003,18.81,8,65,53,109,94,41,3561,10,8,17,19,9,761,0.0,0.0,0.0,0.011737089201877934,0.6,1,1
0,0,0,0,0,5.625,0.3125,11,-27,90,5,43,16,0,0,0,False,3.0,4,False,False,False,False,0,0,0,1.0,3.6,-5.81,4,75,12,76,38,79,7478,15,4,15,6,15,1526,0.0,0.0,0.0,0.004753416518122401,0.7272727272727273,0,1
0,0,0,0,0,4.111111111111111,1.0,0,-7,111,27,34,27,0,0,0,False,3.6666666666666665,7,False,False,False,False,1,2,4,2.0,12.0,3.8,5,89,22,92,25,1105,-1,17,5,20,6,211,-1,0.0,0.0,0.0,-1,0.6666666666666666,3,1
0,0,0,0,0,1.2244897959183674,0.14285714285714285,42,-58,60,7,107,49,0,0,0,False,4.555555555555555,7,False,False,True,False,0,0,4,3.5,10.044444444444444,7.39,9,84,41,51,84,195,-1,16,9,10,16,34,-1,0.047619047619047616,0.16666666666666666,0.0,-1,0.4666666666666667,2,0
0,0,0,0,0,4.133333333333334,0.016666666666666666,59,60,248,1,0,60,0,0,0,False,5.666666666666667,9,False,False,False,False,0,0,0,2.5,23.37777777777778,13.83,9,70,51,211,0,42,3073,11,9,39,-1,6,577,-1,-1,-1,-1,0.8181818181818182,1,1
0,0,0,0,0,5.2,0.4,15,-140,130,10,165,25,0,0,0,False,5.25,8,False,False,False,False,0,0,3,1.0,13.600000000000001,7.25,4,29,21,114,133,722,12485,5,4,19,21,153,2833,0.0,0.0,0.011627906976744186,0.0034733185980423114,1.0,0,1
0,0,0,0,0,1.7590361445783131,0.012048192771084338,82,0,146,1,83,83,0,1,0,False,6.636363636363637,11,False,True,False,False,0,0,1,3.5,20.94545454545455,20.05,11,72,73,126,68,12,524,14,12,23,7,2,99,0.0,0.0,0.0,0.0,0.7692307692307693,0,1
0,0,0,1,1,3.0701754385964914,0.0,57,57,175,0,0,57,0,0,1,False,4.8,8,False,True,False,False,1,4,1,4.0,14.0,9.08,10,67,48,152,0,-1,1071,10,12,24,-1,-1,206,-1,-1,-1,-1,0.4,2,1
1,1,4,8,0,0.04756511891279728,0.0005662514156285391,1765,1678,84,1,88,1766,0,7,2,False,5.379061371841155,13,False,True,False,False,49,77,1,12.125,43.2231884057971,15.22,276,97,1490,70,71,51,2780,20,279,14,10,10,565,0.7391304347826086,0.9333333333333333,0.6666666666666666,0.7774294670846394,0.7894736842105263,0,1
0,0,0,1,0,1.9803921568627452,0.0,51,-45,101,0,96,51,0,1,0,False,4.777777777777778,7,False,False,False,False,0,2,5,3.5,23.37777777777778,8.67,9,43,43,85,84,-1,2252,9,9,17,13,-1,449,0.1111111111111111,0.0,-1,0.014227642276422764,0.8571428571428571,0,1
1,0,0,0,0,1.2589928057553956,0.05755395683453238,131,25,175,8,114,139,0,2,0,False,5.666666666666667,11,False,False,False,False,0,2,6,3.5,27.152380952380952,14.13,21,43,119,146,98,874,1613,10,22,30,17,182,335,0.5,0.09375,0.1958762886597938,0.06426735218508997,0.6666666666666666,1,0
